Dag,Fall,Fall idag,På sjukhus,På IVA,Döda,Döda idag
2020-02-04,1,1,0,0,0,0
2020-02-05,1,0,0,0,0,0
2020-02-06,1,0,0,0,0,0
2020-02-07,1,0,0,0,0,0
2020-02-08,1,0,0,0,0,0
2020-02-09,1,0,0,0,0,0
2020-02-10,1,0,0,0,0,0
2020-02-11,1,0,0,0,0,0
2020-02-12,1,0,0,0,0,0
2020-02-13,1,0,0,0,0,0
2020-02-14,1,0,0,0,0,0
2020-02-15,1,0,0,0,0,0
2020-02-16,1,0,0,0,0,0
2020-02-17,1,0,0,0,0,0
2020-02-18,1,0,0,0,0,0
2020-02-19,1,0,0,0,0,0
2020-02-20,1,0,0,0,0,0
2020-02-21,1,0,0,0,0,0
2020-02-22,1,0,0,0,0,0
2020-02-23,1,0,0,0,0,0
2020-02-24,1,0,0,0,0,0
2020-02-25,1,0,0,0,0,0
2020-02-26,2,1,0,0,0,0
2020-02-27,3,1,0,0,0,0
2020-02-28,11,8,0,0,0,0
2020-02-29,14,3,0,0,0,0
2020-03-01,14,0,0,0,0,0
2020-03-02,19,5,0,0,0,0
2020-03-03,32,13,0,0,0,0
2020-03-04,62,30,0,0,0,0
2020-03-05,87,25,0,0,0,0
2020-03-06,146,59,0,0,0,0
2020-03-07,179,33,0,0,0,0
2020-03-08,225,46,0,0,0,0
2020-03-09,326,101,0,0,0,0
2020-03-10,424,98,0,0,0,0
2020-03-11,620,196,0,0,1,1
2020-03-12,771,151,0,0,1,0
2020-03-13,923,152,0,0,1,0
2020-03-14,994,71,0,0,2,1
2020-03-15,1063,69,0,0,3,1
2020-03-16,1146,83,0,0,7,4
2020-03-17,1265,119,0,0,8,1
2020-03-18,1410,145,43,23,10,2
2020-03-19,1553,143,177,31,11,1
2020-03-20,1733,180,256,45,16,5
2020-03-21,1867,134,279,49,21,5
2020-03-22,1984,117,331,58,23,2
2020-03-23,2166,182,426,92,33,10
2020-03-24,2396,230,497,110,40,7
2020-03-25,2710,314,577,142,63,23
2020-03-26,2996,286,696,160,78,15
2020-03-27,3362,366,803,182,106,28
2020-03-28,3662,300,902,202,113,7
2020-03-29,3943,281,973,219,123,10
2020-03-30,4358,415,1121,265,168,45
2020-03-31,4833,475,1219,293,199,31
2020-04-01,5318,485,1320,312,259,60
2020-04-02,5872,554,1400,339,307,48
2020-04-03,6473,601,1480,361,358,51
2020-04-04,6830,357,1508,374,391,33
2020-04-05,7170,340,1726,397,428,37
2020-04-06,7560,390,1742,415,506,78
2020-04-07,8298,738,1799,439,618,112
2020-04-08,8953,655,1838,451,696,78
2020-04-09,9598,645,1846,464,812,116
2020-04-10,10053,455,1942,487,881,69
2020-04-11,10447,394,1986,503,902,21
2020-04-12,10911,464,2037,500,921,19
2020-04-13,11348,437,2100,521,953,32
2020-04-14,11828,480,2138,522,1084,131
2020-04-15,12432,604,2152,528,1225,141
2020-04-16,13055,623,2156,527,1360,135
2020-04-17,13743,688,2221,523,1442,82
2020-04-18,14275,532,2156,532,1546,104
2020-04-19,14664,389,2234,522,1578,32
2020-04-20,15126,462,2274,537,1633,55
2020-04-21,15778,652,2202,525,1795,162
2020-04-22,16475,697,2218,517,1939,144
2020-04-23,17181,706,2207,537,2035,96
2020-04-24,17956,775,2205,541,2159,124
2020-04-25,18468,512,2233,556,2202,43
2020-04-26,18859,391,2242,543,2206,4
2020-04-27,19353,494,2288,533,2289,83
2020-04-28,19743,390,2238,531,2380,91
2020-04-29,20382,639,2193,539,2473,93
2020-04-30,21200,818,2139,524,2603,130
2020-05-01,21635,435,2118,524,2667,64
2020-05-02,22174,232,2125,526,2685,18
2020-05-03,22416,242,2150,526,2698,13
2020-05-04,22779,363,2199,504,2787,89
2020-05-05,23334,545,2222,492,2877,90
2020-05-06,24019,685,2172,484,2959,82
2020-05-07,24713,694,2169,488,3056,97
